"Timesheet Date","Annual Salary","Location Name","Timesheet Total Time","Timesheet Number Cost","Annual Salaried Shift Cost","Is Leave"
"2025-11-03","","Spitalfields","7.38","94.833","0","true"
"2025-11-03","","Selfridges","7.5","96.375","0","true"
"2025-11-03","£55,000.00","JENKI CPU","8.37","0","221.32211538461533","true"
"2025-11-03","","Covent Garden","8","110.8","0","true"
"2025-11-03","","Borough","2.23","30.8855","0","false"
"2025-11-02","","Selfridges","7.5","96.375","0","true"
"2025-11-02","","Covent Garden","8.05","103.4425","0","false"
"2025-11-02","","Covent Garden","8.07","111.7695","0","false"
"2025-11-02","","Covent Garden","7.68","106.368","0","false"
"2025-11-02","","Covent Garden","5.62","72.217","0","false"
"2025-11-02","£29,000.00","Spitalfields","6.58","0","91.74038461538463","false"
"2025-11-02","","Spitalfields","7.08","98.058","0","false"
"2025-11-02","","Spitalfields","7.62","97.917","0","false"
"2025-11-02","","Spitalfields","7.4","102.49","0","false"
"2025-11-02","","Spitalfields","6.83","94.5955","0","false"
"2025-11-02","","Borough","7.08","90.978","0","false"
"2025-11-02","","Borough","8.07","111.7695","0","false"
"2025-11-02","","Borough","6.75","93.4875","0","false"
"2025-11-02","","Borough","8.93","114.7505","0","false"
"2025-11-02","","Borough","7.87","108.9995","0","false"
"2025-11-02","","Borough","6.75","93.4875","0","false"
"2025-11-02","","Spitalfields","7.38","94.833","0","true"
"2025-11-02","","Spitalfields","8","102.8","0","true"
"2025-11-02","","Covent Garden","6.58","84.553","0","false"
"2025-11-02","","Selfridges","7","96.95","0","false"
"2025-11-02","£29,000.00","Selfridges","6.73","0","93.83173076923079","false"
"2025-11-02","","Selfridges","6.83","94.5955","0","false"
"2025-11-02","","Selfridges","6","77.1","0","false"
"2025-11-02","","Selfridges","6","77.1","0","false"
"2025-11-01","","Covent Garden","7.5","96.375","0","true"
"2025-11-01","","Selfridges","6.6","84.81","0","false"
"2025-11-01","","Selfridges","8.35","115.6475","0","false"
"2025-11-01","","Selfridges","7.5","96.375","0","true"
"2025-11-01","","Selfridges","8.23","113.9855","0","false"
"2025-11-01","","Selfridges","8.45","117.0325","0","false"
"2025-11-01","","Selfridges","7.2","92.52","0","false"
"2025-11-01","","Selfridges","7.25","100.4125","0","false"
"2025-11-01","","Selfridges","6.8","94.18","0","false"
"2025-11-01","","Selfridges","4.75","65.7875","0","false"
"2025-11-01","","Selfridges","7.35","94.4475","0","false"
"2025-11-01","","Covent Garden","8.02","103.057","0","false"
"2025-11-01","","Covent Garden","7.9","109.415","0","false"
"2025-11-01","","Covent Garden","7.25","100.4125","0","false"
"2025-11-01","","Covent Garden","6.25","80.3125","0","false"
"2025-11-01","","Covent Garden","8.17","115.197","0","false"
"2025-11-01","","Spitalfields","7.25","102.225","0","false"
"2025-11-01","","Spitalfields","8.03","111.2155","0","false"
"2025-11-01","","Spitalfields","8.92","123.542","0","false"
"2025-11-01","","Spitalfields","7.53","96.7605","0","false"
"2025-11-01","£29,000.00","Borough","5.6","0","78.07692307692308","false"
"2025-11-01","","Borough","7.77","109.557","0","false"
"2025-11-01","","Borough","7.17","92.1345","0","false"
"2025-11-01","","Borough","4.2","53.97","0","false"
"2025-11-01","","Borough","6.75","93.4875","0","false"
"2025-11-01","","Borough","6.52","90.302","0","false"
"2025-11-01","","Spitalfields","7","96.95","0","false"
"2025-11-01","","Spitalfields","7.25","93.1625","0","false"
"2025-11-01","","Spitalfields","7.38","94.833","0","true"
"2025-11-01","","Spitalfields","8","102.8","0","true"
"2025-11-01","","Covent Garden","8.15","112.8775","0","false"
"2025-11-01","","Covent Garden","8.3","114.955","0","false"
"2025-11-01","£34,000.00","Selfridges","8.58","0","140.25","false"
"2025-10-31","","Covent Garden","7.5","96.375","0","true"
"2025-10-31","","Covent Garden","4.9","69.09","0","false"
"2025-10-31","","Selfridges","6.28","86.978","0","false"
"2025-10-31","","Selfridges","6.9","97.29","0","false"
"2025-10-31","£28,808.00","JENKI CPU","8.08","0","111.908","false"
"2025-10-31","£28,808.00","JENKI CPU","6.15","0","85.17750000000001","false"
"2025-10-31","£28,808.00","JENKI CPU","8","0","110.8","false"
"2025-10-31","","Selfridges","8.37","115.9245","0","false"
"2025-10-31","","Selfridges","8.37","115.9245","0","false"
"2025-10-31","","Selfridges","7.2","99.72","0","false"
"2025-10-31","","Selfridges","7.5","103.875","0","false"
"2025-10-31","","Selfridges","7.12","91.492","0","false"
"2025-10-31","","Selfridges","6.33","81.3405","0","false"
"2025-10-31","","Selfridges","4.88","67.588","0","false"
"2025-10-31","","Covent Garden","8.4","107.94","0","false"
"2025-10-31","","Covent Garden","8.42","108.197","0","false"
"2025-10-31","","Covent Garden","2.28","29.298","0","false"
"2025-10-31","","Covent Garden","7.63","110.635","0","false"
"2025-10-31","£29,000.00","Spitalfields","8.5","0","118.50961538461539","false"
"2025-10-31","","Spitalfields","6.1","78.385","0","false"
"2025-10-31","","Spitalfields","8","110.8","0","false"
"2025-10-31","","Spitalfields","8.73","112.1805","0","false"
"2025-10-31","","Spitalfields","6.37","81.8545","0","false"
"2025-10-31","","Spitalfields","5.38","74.513","0","false"
"2025-10-31","£29,000.00","Borough","5.82","0","81.14423076923077","false"
"2025-10-31","","Borough","6.62","93.342","0","false"
"2025-10-31","","Borough","7.97","110.3845","0","false"
"2025-10-31","","Borough","6.22","79.927","0","false"
"2025-10-31","","Borough","7.38","102.213","0","false"
"2025-10-31","","Borough","7.78","107.753","0","false"
"2025-10-31","","Spitalfields","7.38","94.833","0","true"
"2025-10-31","£33,000.00","Covent Garden","8","0","126.92307692307693","false"
"2025-10-31","","Covent Garden","8.08","103.828","0","false"
"2025-10-31","£34,000.00","Selfridges","7","0","114.42307692307693","false"
"2025-10-30","","Spitalfields","8","112.8","0","true"
"2025-10-30","","Selfridges","6.37","88.2245","0","false"
"2025-10-30","","Selfridges","8.82","122.157","0","false"
"2025-10-30","","Selfridges","8.6","121.26","0","false"
"2025-10-30","","Selfridges","7.07","97.9195","0","false"
"2025-10-30","","Selfridges","7.08","90.978","0","false"
"2025-10-30","","Selfridges","7.23","100.1355","0","false"
"2025-10-30","","Selfridges","6.33","87.6705","0","false"
"2025-10-30","","Selfridges","6.07","77.9995","0","false"
