special_drink_general_name,Date,Location,day_of_special,Number of Units,Total Gross Sales
Black Cherry Matcha Latte,01/04/2025,jenki-spitalfields,13,105.0,590.1
Black Cherry Matcha Latte,02/04/2025,jenki-spitalfields,14,134.0,750.8
Black Cherry Matcha Latte,03/04/2025,jenki-spitalfields,15,114.0,637.15
Black Cherry Matcha Latte,04/04/2025,jenki-spitalfields,16,151.0,835.0
Black Cherry Matcha Latte,05/04/2025,jenki-spitalfields,17,159.0,888.65
Black Cherry Matcha Latte,06/04/2025,jenki-spitalfields,18,83.0,461.0
Black Cherry Matcha Latte,07/04/2025,jenki-spitalfields,19,8.0,44.0
Black Cherry Matcha Latte,08/04/2025,jenki-spitalfields,20,103.0,574.0
Black Cherry Matcha Latte,09/04/2025,jenki-spitalfields,21,134.0,745.5
Black Cherry Matcha Latte,10/04/2025,jenki-spitalfields,22,65.0,366.5
Black Cherry Matcha Latte,11/04/2025,jenki-spitalfields,23,129.0,715.15
Black Cherry Matcha Latte,12/04/2025,jenki-spitalfields,24,148.0,822.3
Black Cherry Matcha Latte,13/04/2025,jenki-spitalfields,25,124.0,690.45
Black Cherry Matcha Latte,14/04/2025,jenki-spitalfields,26,72.0,409.8
Black Cherry Matcha Latte,15/04/2025,jenki-spitalfields,27,82.0,453.5
Black Cherry Matcha Latte,16/04/2025,jenki-spitalfields,28,104.0,581.3
Black Cherry Matcha Latte,17/04/2025,jenki-spitalfields,29,108.0,604.1
Black Cherry Matcha Latte,18/04/2025,jenki-spitalfields,30,139.0,774.0
Black Cherry Matcha Latte,19/04/2025,jenki-spitalfields,31,122.0,682.0
Black Cherry Matcha Latte,20/03/2025,jenki-spitalfields,1,124.0,686.5
Black Cherry Matcha Latte,20/04/2025,jenki-spitalfields,32,87.0,485.3
Black Cherry Matcha Latte,21/03/2025,jenki-spitalfields,2,93.0,517.5
Black Cherry Matcha Latte,21/04/2025,jenki-spitalfields,33,80.0,445.3
Black Cherry Matcha Latte,22/03/2025,jenki-spitalfields,3,108.0,600.0
Black Cherry Matcha Latte,22/04/2025,jenki-spitalfields,34,89.0,497.45
Black Cherry Matcha Latte,23/03/2025,jenki-spitalfields,4,23.0,127.0
Black Cherry Matcha Latte,23/04/2025,jenki-spitalfields,35,52.0,292.15
