Location ID,Date,Hour,Gross Revenue,Net Revenue,Order Count
L6GF6Z26CV7BM,2026-02-04,7,46.5,16.0,3
L6GF6Z26CV7BM,2026-02-04,8,150.0,127.9,21
L6GF6Z26CV7BM,2026-02-04,9,108.95,93.95,13
L6GF6Z26CV7BM,2026-02-04,10,134.0,102.5,14
L6GF6Z26CV7BM,2026-02-04,11,165.85,162.18,24
L6GF6Z26CV7BM,2026-02-04,12,237.35,212.65,30
L6GF6Z26CV7BM,2026-02-04,13,291.45,258.05,32
L6GF6Z26CV7BM,2026-02-04,14,234.5,206.95,16
L6GF6Z26CV7BM,2026-02-04,15,283.4,266.0,33
L6GF6Z26CV7BM,2026-02-04,16,196.45,180.1,26
L6GF6Z26CV7BM,2026-02-04,17,174.0,165.2,23
L6GF6Z26CV7BM,2026-02-04,18,208.9,216.7,24
L6GF6Z26CV7BM,2026-02-04,19,145.9,121.15,17
L6GF6Z26CV7BM,2026-02-04,20,3.5,3.5,1
