Location ID,Date,Hour,Gross Revenue,Net Revenue,Order Count
LWVAYYMFT3XKP,2026-03-18,7,5.0,6.0,1
LWVAYYMFT3XKP,2026-03-18,8,126.5,129.25,20
LWVAYYMFT3XKP,2026-03-18,9,197.95,136.45,16
LWVAYYMFT3XKP,2026-03-18,10,324.0,248.0,28
LWVAYYMFT3XKP,2026-03-18,11,286.4,209.86,29
LWVAYYMFT3XKP,2026-03-18,12,268.5,233.6,34
LWVAYYMFT3XKP,2026-03-18,13,632.0,580.35,84
LWVAYYMFT3XKP,2026-03-18,14,386.5,346.85,54
LWVAYYMFT3XKP,2026-03-18,15,325.0,279.25,31
LWVAYYMFT3XKP,2026-03-18,16,241.9,185.51,26
LWVAYYMFT3XKP,2026-03-18,17,189.85,143.2,22
LWVAYYMFT3XKP,2026-03-18,18,3.0,0.0,0
