Location ID,Date,Hour,Gross Revenue,Net Revenue,Order Count
LQ4TFTDQYXY3D,2026-01-26,7,45.45,31.45,6
LQ4TFTDQYXY3D,2026-01-26,8,188.0,160.75,29
LQ4TFTDQYXY3D,2026-01-26,9,116.5,94.0,17
LQ4TFTDQYXY3D,2026-01-26,10,207.5,194.55,24
LQ4TFTDQYXY3D,2026-01-26,11,150.45,138.8,22
LQ4TFTDQYXY3D,2026-01-26,12,238.5,237.95,36
LQ4TFTDQYXY3D,2026-01-26,13,297.45,246.45,36
LQ4TFTDQYXY3D,2026-01-26,14,316.9,272.8,32
LQ4TFTDQYXY3D,2026-01-26,15,304.95,289.95,40
LQ4TFTDQYXY3D,2026-01-26,16,271.5,267.35,22
LQ4TFTDQYXY3D,2026-01-26,17,144.0,115.0,14
LQ4TFTDQYXY3D,2026-01-26,18,57.5,58.4,10
LQ4TFTDQYXY3D,2026-01-26,19,150.0,150.75,16
