Location ID,Date,Hour,Gross Revenue,Net Revenue,Order Count
LZX5X6V4QY6MJ,2026-03-25,9,129.45,21.35,4
LZX5X6V4QY6MJ,2026-03-25,10,94.5,84.2,11
LZX5X6V4QY6MJ,2026-03-25,11,152.0,143.85,22
LZX5X6V4QY6MJ,2026-03-25,12,305.9,299.05,31
LZX5X6V4QY6MJ,2026-03-25,13,368.95,373.21,54
LZX5X6V4QY6MJ,2026-03-25,14,310.5,291.85,36
LZX5X6V4QY6MJ,2026-03-25,15,202.45,202.5,30
LZX5X6V4QY6MJ,2026-03-25,16,276.4,268.1,43
LZX5X6V4QY6MJ,2026-03-25,17,150.0,160.0,23
LZX5X6V4QY6MJ,2026-03-25,18,65.0,69.0,11
LZX5X6V4QY6MJ,2026-03-25,19,88.45,92.85,13
LZX5X6V4QY6MJ,2026-03-25,20,6.5,0.0,0
