brand,borough,name,formatted_address,lat,lng,postcode
PerfectTed,City of London,PerfectTed,"89.5 Worship St, London EC2A 2BF, United Kingdom",51.5221052,-0.08225140000000000,EC2A 2BF
OMGTea,City of London,OMGTEA,"PLATF9RM, Hove Town Hall, Tisbury Rd, Hove BN3 3BQ, United Kingdom",50.8284022,-0.1701575,BN3 3BA
My Matcha & Coffee,Camden,My Matcha & Coffee,"54-56 Camden Lock Pl, London NW1 8AF, United Kingdom",51.5411732,-0.1464697,NW1 8AF
East & Tea.Co,Sutton,East & Tea.Co,"208 High St, Surrey SM1 1NU, United Kingdom",51.366265,-0.1941236,SM1 1NU
Blank Street Coffee,City of London,Blank Street Coffee,"87 Old Broad St, London EC2N 1BG, United Kingdom",51.5166943,-0.0836355,EC2N 1BG
Blank Street Coffee,City of London,Blank Street Coffee,"2a Eastcheap, London EC3M 1BN, United Kingdom",51.510548,-0.0855779,EC3M 1AA
Blank Street Coffee,City of London,Blank Street Coffee,"81 Gracechurch St, London EC3V 0AU, United Kingdom",51.5124744,-0.08448500000000000,EC3V 0AS
Blank Street Coffee,City of London,Blank Street Coffee,"138 Cheapside, London EC2V 6BJ, United Kingdom",51.5147054,-0.09631770000000000,EC2V 6BJ
Blank Street Coffee,City of London,Blank Street Coffee,"7 Ludgate Circus, London EC4Y 1DE, United Kingdom",51.5140062,-0.1047098,EC4Y 1DE
Blank Street Coffee,City of London,Blank Street Coffee,"Canada Place, Crossrail Pl, London E14 5FU, United Kingdom",51.5056652,-0.016511,E14 5FU
Blank Street Coffee,City of London,Blank Street Coffee,"101 Moorgate, London EC2Y 9AA, United Kingdom",51.5179757,-0.0887051,EC2Y 9AA
Blank Street Coffee,City of London,Blank Street Coffee,"16 Norton Folgate, London E1 6DB, United Kingdom",51.5212009,-0.0783813,E1 6DB
Blank Street Coffee,City of London,Blank Street Coffee,"1 Canada Square, London E14 5AB, United Kingdom",51.5049286,-0.0195496,E14 5AH
Blank Street Coffee,City of London,Blank Street Coffee,"3 Redchurch St, London E2 7DJ, United Kingdom",51.5243603,-0.07684920000000000,E2 7DJ
Blank Street Coffee,City of London,Blank Street Coffee,"80 Finsbury Pavement, London EC2Y 9AU, United Kingdom",51.5200984,-0.0872125,EC2Y 9AU
Blank Street Coffee,City of London,Blank Street Coffee,"80 Kingsway, London WC2B 6AG, United Kingdom",51.5171561,-0.1198163,WC2B 6AA
Blank Street Coffee,City of London,Blank Street Coffee,"2, 65-72 Strand, London WC2N 5LR, United Kingdom",51.5098087,-0.1226743,WC2N 5LR
Blank Street Coffee,City of London,Blank Street Coffee,"22 Noel St, London W1F 8GS, United Kingdom",51.51508930000000,-0.1359465,W1F 8GS
Blank Street Coffee,City of London,Blank Street Coffee,"110 New Oxford St, London WC1A 1HD, United Kingdom",51.5167124,-0.1291228,WC1A 1HH
