Row Type,Parent Product Class,Class,Name,Product Category,Product Subcategory,Parent Product,Qty,Weight,Total Sales,COGS
Product,,Unknown Class,HOT London Fog Matcha Latte,ITEM,,,10,0.0,64.75,0.0
Product,,Unknown Class,HOT Vanilla + Sea Salt Matcha Latte,ITEM,,,14,0.0,78.0,0.0
Product,,Unknown Class,Lavender + CBD Matcha Latte COLD,ITEM,,,29,0.0,180.39999999999998,0.0
Product,,Unknown Class,HOT Matcha Latte,ITEM,,,32,0.0,155.9,0.0
Product,,Unknown Class,Matcha Latte COLD,ITEM,,,94,0.0,443.1,0.0
Product,,Unknown Class,Flat Green COLD,ITEM,,,11,0.0,40.5,0.0
Product,,Unknown Class,Matcha Peanut Butter Cup,ITEM,,,15,0.0,52.15,0.0
Product,,Unknown Class,HOT Flat Green,ITEM,,,7,0.0,30.6,0.0
Product,,Unknown Class,London Fog Matcha Latte COLD,ITEM,,,31,0.0,153.39999999999998,0.0
Product,,Unknown Class,Spiced Peach Brown Sugar Cold Foam Matcha,ITEM,,,58,0.0,315.00000000000006,0.0
Product,,Unknown Class,Matcha Snickers,ITEM,,,5,0.0,25.0,0.0
Product,,Unknown Class,HOT Hojicha Latte,ITEM,,,7,0.0,31.5,0.0
Product,,Unknown Class,Matcha Cookie,ITEM,,,14,0.0,63.0,0.0
Product,,Unknown Class,Cacao + Shrooms Matcha Latte COLD,ITEM,,,3,0.0,19.5,0.0
Product,,Unknown Class,Spiced Peach Brown Sugar Cold Foam Hojicha,ITEM,,,17,0.0,110.5,0.0
Product,,Unknown Class,Rose + Collagen Matcha Latte COLD,ITEM,,,13,0.0,83.2,0.0
Product,,Unknown Class,Vanilla + Sea Salt Matcha Latte COLD,ITEM,,,95,0.0,595.4000000000001,0.0
Product,,Unknown Class,HOT Matchacano,ITEM,,,3,0.0,12.0,0.0
Product,,Unknown Class,Greens + Matcha Smoothie,ITEM,,,4,0.0,34.0,0.0
Product,,Unknown Class,Ginger + Turmeric Matcha Latte COLD,ITEM,,,9,0.0,57.85,0.0
Product,,Unknown Class,Hojicha Latte COLD,ITEM,,,3,0.0,13.5,0.0
Product,,Unknown Class,Carton Still Water,ITEM,,,3,0.0,9.0,0.0
Product,,Unknown Class,Matcha Pouch,ITEM,,,1,0.0,49.0,0.0
Product,,Unknown Class,Chai Matcha Latte COLD,ITEM,,,13,0.0,71.4,0.0
Product,,Unknown Class,Matchacano COLD,ITEM,,,4,0.0,12.0,0.0
Product,,Unknown Class,HOT Ginger + Turmeric Matcha Latte,ITEM,,,6,0.0,39.0,0.0
Product,,Unknown Class,Sparkling Water,ITEM,,,1,0.0,1.5,0.0
Product,,Unknown Class,Matchagato,ITEM,,,3,0.0,13.0,0.0
Product,,Unknown Class,Coco Bites,ITEM,,,6,0.0,19.25,0.0
Product,,Unknown Class,Vanilla Cashew + Protein Smoothie,ITEM,,,4,0.0,25.25,0.0
Product,,Unknown Class,HOT Rose + Collagen Matcha Latte,ITEM,,,3,0.0,19.5,0.0
Product,,Unknown Class,HOT Chai Matcha Latte,ITEM,,,4,0.0,15.600000000000001,0.0
Product,,Unknown Class,HOT Lavender + CBD Matcha Latte,ITEM,,,4,0.0,26.0,0.0
Product,,Unknown Class,Peanut Butter Cacao + Protein Smoothie,ITEM,,,1,0.0,0.0,0.0
Product,,Unknown Class,Berries + Collagen Smoothie,ITEM,,,3,0.0,17.0,0.0
Product,,Unknown Class,Matcha Tin,ITEM,,,1,0.0,34.0,0.0
