Row Type,Parent Product Class,Class,Name,Product Category,Product Subcategory,Parent Product,Qty,Weight,Total Sales,COGS
Product,,Unknown Class,HOT Matcha Latte,ITEM,,,33,0.0,163.8,0.0
Product,,Unknown Class,London Fog Matcha Latte COLD,ITEM,,,19,0.0,116.35,0.0
Product,,Unknown Class,HOT Cacao + Shrooms Matcha Latte,ITEM,,,3,0.0,13.0,0.0
Product,,Unknown Class,HOT Chai Matcha Latte,ITEM,,,8,0.0,41.4,0.0
Product,,Unknown Class,HOT Vanilla + Sea Salt Matcha Latte,ITEM,,,28,0.0,167.7,0.0
Product,,Unknown Class,Vanilla + Sea Salt Matcha Latte COLD,ITEM,,,61,0.0,403.20000000000005,0.0
Product,,Unknown Class,Lavender + CBD Matcha Latte COLD,ITEM,,,12,0.0,78.0,0.0
Product,,Unknown Class,Spiced Peach Brown Sugar Cold Foam Matcha,ITEM,,,55,0.0,357.7000000000001,0.0
Product,,Unknown Class,Hojicha Latte COLD,ITEM,,,4,0.0,20.25,0.0
Product,,Unknown Class,Matcha Latte COLD,ITEM,,,71,0.0,400.5999999999999,0.0
Product,,Unknown Class,Chai Matcha Latte COLD,ITEM,,,10,0.0,54.0,0.0
Product,,Unknown Class,Matcha Peanut Butter Cup,ITEM,,,4,0.0,10.5,0.0
Product,,Unknown Class,Spiced Peach Brown Sugar Cold Foam Hojicha,ITEM,,,11,0.0,64.35,0.0
Product,,Unknown Class,Rose + Collagen Matcha Latte COLD,ITEM,,,4,0.0,26.0,0.0
Product,,Unknown Class,HOT Matchacano,ITEM,,,2,0.0,8.0,0.0
Product,,Unknown Class,Matchagato,ITEM,,,2,0.0,13.0,0.0
Product,,Unknown Class,HOT Rose + Collagen Matcha Latte,ITEM,,,4,0.0,26.0,0.0
Product,,Unknown Class,HOT London Fog Matcha Latte,ITEM,,,10,0.0,50.7,0.0
Product,,Unknown Class,HOT Lavender + CBD Matcha Latte,ITEM,,,8,0.0,52.0,0.0
Product,,Unknown Class,Coco Bites,ITEM,,,3,0.0,7.5,0.0
Product,,Unknown Class,Matchacano COLD,ITEM,,,3,0.0,12.0,0.0
Product,,Unknown Class,Matcha Cookie,ITEM,,,3,0.0,9.0,0.0
Product,,Unknown Class,HOT Flat Green,ITEM,,,2,0.0,12.0,0.0
Product,,Unknown Class,Matcha Tin,ITEM,,,3,0.0,102.0,0.0
Product,,Unknown Class,HOT Hojicha Latte,ITEM,,,4,0.0,19.0,0.0
Product,,Unknown Class,Cacao + Shrooms Matcha Latte COLD,ITEM,,,1,0.0,6.5,0.0
Product,,Unknown Class,Flat Green COLD,ITEM,,,1,0.0,4.5,0.0
Product,,Unknown Class,Ginger + Turmeric Matcha Latte COLD,ITEM,,,3,0.0,18.85,0.0
Product,,Unknown Class,Matcha Pouch,ITEM,,,3,0.0,147.0,0.0
Product,,Unknown Class,Carton Still Water,ITEM,,,1,0.0,3.0,0.0
Product,,Unknown Class,HOT Ginger + Turmeric Matcha Latte,ITEM,,,2,0.0,13.0,0.0
