Row Type,Parent Product Class,Class,Name,Product Category,Product Subcategory,Parent Product,Qty,Weight,Total Sales,COGS
Product,,Unknown Class,Ritual Starter Set,ITEM,,,3,0.0,57.0,0.0
Product,,Unknown Class,ICED Matcha Latte,ITEM,,,169,0.0,925.35,0.0
Product,,Unknown Class,ICED London Fog Matcha Latte,ITEM,,,31,0.0,200.2,0.0
Product,,Unknown Class,ICED Vanilla + Sea Salt Matcha Latte,ITEM,,,122,0.0,778.9000000000001,0.0
Product,,Unknown Class,HOT Hojicha Latte,ITEM,,,4,0.0,18.0,0.0
Product,,Unknown Class,Matcha Snickers,ITEM,,,9,0.0,45.0,0.0
Product,,Unknown Class,Matchagato,ITEM,,,15,0.0,96.85,0.0
Product,,Unknown Class,ICED Pistachio + Raspberry Cold Foam Matcha,ITEM,,,161,0.0,993.1999999999999,0.0
Product,,Unknown Class,HOT Matcha Latte,ITEM,,,56,0.0,269.5,0.0
Product,,Unknown Class,Banana Bread,ITEM,,,15,0.0,47.400000000000006,0.0
Product,,Unknown Class,Greens + Matcha Smoothie,ITEM,,,7,0.0,34.0,0.0
Product,,Unknown Class,HOT Vanilla + Sea Salt Matcha Latte,ITEM,,,19,0.0,116.35,0.0
Product,,Unknown Class,ICED Lavender + CBD Matcha Latte,ITEM,,,41,0.0,253.85,0.0
Product,,Unknown Class,ICED Ginger + Turmeric Matcha Latte,ITEM,,,12,0.0,65.0,0.0
Product,,Unknown Class,ICED Matchacano,ITEM,,,9,0.0,32.6,0.0
Product,,Unknown Class,HOT Matchacano,ITEM,,,8,0.0,32.0,0.0
Product,,Unknown Class,Matcha Peanut Butter Cup,ITEM,,,28,0.0,97.3,0.0
Product,,Unknown Class,ICED Rose + Collagen Matcha Latte,ITEM,,,44,0.0,272.35,0.0
Product,,Unknown Class,Peanut Butter Cacao + Protein Smoothie,ITEM,,,8,0.0,42.5,0.0
Product,,Unknown Class,HOT Ginger + Turmeric Matcha Latte,ITEM,,,5,0.0,31.85,0.0
Product,,Unknown Class,ICED Cacao + Shrooms Matcha Latte,ITEM,,,8,0.0,51.35,0.0
Product,,Unknown Class,Coco Bites,ITEM,,,26,0.0,82.5,0.0
Product,,Unknown Class,HOT Lavender + CBD Matcha Latte,ITEM,,,12,0.0,79.75,0.0
Product,,Unknown Class,ICED Chai Matcha Latte,ITEM,,,16,0.0,96.0,0.0
Product,,Unknown Class,Matcha Cookie,ITEM,,,16,0.0,62.099999999999994,0.0
Product,,Unknown Class,ICED Hojicha Latte,ITEM,,,5,0.0,18.0,0.0
Product,,Unknown Class,HOT Cacao + Shrooms Matcha Latte,ITEM,,,6,0.0,39.0,0.0
Product,,Unknown Class,HOT Rose + Collagen Matcha Latte,ITEM,,,8,0.0,54.0,0.0
Product,,Unknown Class,HOT London Fog Matcha Latte,ITEM,,,4,0.0,19.5,0.0
Product,,Unknown Class,HOT Flat Green,ITEM,,,6,0.0,27.0,0.0
Product,,Unknown Class,ICED Flat Green,ITEM,,,15,0.0,60.5,0.0
Product,,Unknown Class,Berries + Collagen Smoothie,ITEM,,,6,0.0,42.5,0.0
Product,,Unknown Class,Vanilla Cashew + Protein Smoothie,ITEM,,,6,0.0,51.0,0.0
Product,,Unknown Class,HOT Chai Matcha Latte,ITEM,,,6,0.0,30.0,0.0
Product,,Unknown Class,Matcha Pouch,ITEM,,,3,0.0,147.0,0.0
Product,,Unknown Class,Matcha Tin,ITEM,,,1,0.0,34.0,0.0
Product,,Unknown Class,Matcha Shot,ITEM,,,1,0.0,3.0,0.0
