Row Type,Parent Product Class,Class,Name,Product Category,Product Subcategory,Parent Product,Qty,Weight,Total Sales,COGS
Product,,Unknown Class,Matcha Cookie,ITEM,,,11,0.0,44.1,0.0
Product,,Unknown Class,ICED Black Cherry Matcha,ITEM,,,52,0.0,253.24999999999997,0.0
Product,,Unknown Class,Matcha Snickers,ITEM,,,3,0.0,14.5,0.0
Product,,Unknown Class,ICED Flat Green,ITEM,,,7,0.0,21.0,0.0
Product,,Unknown Class,ICED Vanilla + Sea Salt Matcha Latte,ITEM,,,66,0.0,411.95000000000005,0.0
Product,,Unknown Class,Coco Bites,ITEM,,,12,0.0,34.0,0.0
Product,,Unknown Class,HOT Vanilla + Sea Salt Matcha Latte,ITEM,,,15,0.0,97.5,0.0
Product,,Unknown Class,ICED Matcha Latte,ITEM,,,88,0.0,446.5,0.0
Product,,Unknown Class,HOT Matcha Latte,ITEM,,,40,0.0,196.0,0.0
Product,,Unknown Class,HOT Hojicha Latte,ITEM,,,7,0.0,31.5,0.0
Product,,Unknown Class,ICED Hojicha Latte,ITEM,,,13,0.0,44.5,0.0
Product,,Unknown Class,ICED Lavender + CBD Matcha Latte,ITEM,,,7,0.0,35.1,0.0
Product,,Unknown Class,ICED London Fog Matcha Latte,ITEM,,,14,0.0,83.2,0.0
Product,,Unknown Class,ICED Chai Matcha Latte,ITEM,,,15,0.0,84.19999999999999,0.0
Product,,Unknown Class,Matcha Pouch,ITEM,,,2,0.0,98.0,0.0
Product,,Unknown Class,ICED Matchacano,ITEM,,,2,0.0,8.0,0.0
Product,,Unknown Class,Matcha Peanut Butter Cup,ITEM,,,14,0.0,41.65,0.0
Product,,Unknown Class,ICED Rose + Collagen Matcha Latte,ITEM,,,8,0.0,44.85,0.0
Product,,Unknown Class,HOT Rose + Collagen Matcha Latte,ITEM,,,2,0.0,9.5,0.0
Product,,Unknown Class,HOT Matchacano,ITEM,,,3,0.0,12.0,0.0
Product,,Unknown Class,Peanut Butter Cacao + Protein Smoothie,ITEM,,,6,0.0,51.0,0.0
Product,,Unknown Class,HOT London Fog Matcha Latte,ITEM,,,10,0.0,69.0,0.0
Product,,Unknown Class,HOT Flat Green,ITEM,,,5,0.0,23.05,0.0
Product,,Unknown Class,HOT Lavender + CBD Matcha Latte,ITEM,,,5,0.0,25.35,0.0
Product,,Unknown Class,Banana Bread,ITEM,,,12,0.0,38.720000000000006,0.0
Product,,Unknown Class,HOT Chai Matcha Latte,ITEM,,,8,0.0,47.4,0.0
Product,,Unknown Class,Carton Still Water,ITEM,,,2,0.0,3.0,0.0
Product,,Unknown Class,Jenki Tumblr,ITEM,,,1,0.0,0.0,0.0
Product,,Unknown Class,Bamboo Whisk,ITEM,,,1,0.0,16.0,0.0
Product,,Unknown Class,Greens + Matcha Smoothie,ITEM,,,2,0.0,8.5,0.0
Product,,Unknown Class,Berries + Collagen Smoothie,ITEM,,,4,0.0,27.5,0.0
Product,,Unknown Class,ICED Ginger + Turmeric Matcha Latte,ITEM,,,2,0.0,6.5,0.0
Product,,Unknown Class,Vanilla Cashew + Protein Smoothie,ITEM,,,3,0.0,8.5,0.0
Product,,Unknown Class,Sparkling Water,ITEM,,,1,0.0,0.0,0.0
Product,,Unknown Class,Protein,ITEM,,,1,0.0,2.0,0.0
Product,,Unknown Class,Matcha Shot,ITEM,,,1,0.0,3.0,0.0
